
№ скважины/ точки	Лок. СК	 	 	UTM (50)	 	 	 	1) вычисляю параметры перехода (плоская локализация) 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
 	Х	У	Z	Восток	Север	Высота	 	2) использую их для дальнейшего пересчета	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
1041	44360,94	94005,53	1427,34	374331	6593178	1426	 	L1	L2	SF	?? рад	??°	A	B	C	D	 	 	 	 	 	 	 	
1044	44556,33	93914,41	1333	374524	6593075	1334	 	215,5925	218,7647	1,000	-0,05386	-3,09	0,99855	-0,05383	324975,1283	6501696,15	 	2,007163	2,061023	 	 	 	 	
43.5	44258,1	94982,3	1444,6	374275	6594159	1439	 	1108,752	1112,231	1,000	-0,04654	-2,67	0,998917	-0,04653	325645,9635	6501337,07	 	195,39	-91,12	2,007163	193	-103	2,061023	
58.5	44542,5	94969,6	1457,2	374562	6594131	1445	 	982,1689	982,5971	1,000	-0,04788	-2,74	0,998854	-0,04786	325521,9335	6501403,44	 	 	 	-0,43637	 	 	-0,49023	
test1	44550	94000	1400	374519,8	6593162	1400	 	982,1689	982,5971	1,000	-0,04788	-2,74	0,998419	-0,04784	325543,1913	6501443,65	 	 	 	 	 	 	 	
test2	44745	93985	1452	374713,8	6593138	1452	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
 	0	0	0	325380	6501478	0	 	 	 	ИТОГ:	-0,05	-2,83	0,998779	-0,04941	325380,0095	6501478,33	 	 	 	 	 	 	 	
 	0	0	0	325380	6501478	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
 	0	0	0	325380	6501478	0	 	ПОЛИНОМ СВЯЗИ СК:   X2 = AX1 + BY1 + C;   Y2 = AY1 + BX1 + D.	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
 	0	0	0	325380	6501478	0	 	ВНИМАНИЕ! Из-за невысокой точности навигатора и допущений метода, могут быть погрешности локализации!!!	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
 	0	0	0	325380	6501478	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
 	0	0	0	325380	6501478	0	 	ТЕСТ ВЫБРАННЫХ КОЭФФИЦИЕНТОВ	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
 	0	0	0	325380	6501478	0	 	Х	У	Z	Восток	Север	Высота	?Восток	?Север	?Высота	 	 	 	 	 	 	 	
 	0	0	0	325380	6501478	0	 	44360,94	94005,53	1427,34	374331,3	6593177	1427,34	0,27	-0,67	1,34	 	 	 	 	 	 	 	
 	0	0	0	325380	6501478	0	 	44556,33	93914,41	1333	374521,9	6593077	1333	-2,08	1,67	-1,00	 	 	 	 	 	 	 	
 	0	0	0	325380	6501478	0	 	44258,1	94982,3	1444,6	374276,8	6594158	1444,6	1,81	-1,01	5,60	 	 	 	 	 	 	 	
 	0	0	0	325380	6501478	0	 	44542,5	94969,6	1457,2	374560,2	6594131	1457,2	-1,76	0,26	12,20	 	 	 	 	 	 	 	
 	0	0	0	325380	6501478	0	 	44550	94000	1400	374519,8	6593162	1400	0,00	0,00	0,00	 	 	 	 	 	 	 	
 	0	0	0	325380	6501478	0	 	44745	93985	1452	374713,8	6593138	1452	0,00	0,00	0,00	 	 	 	 	 	 	 	
 	0	0	0	325380	6501478	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
 	0	0	0	325380	6501478	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	
